 Against	Region	Played	Won	Drew	Lost	GF	GA	GD	Win	First match	Last match
 Albania 	UEFA 	4 	3 	1 	0 	6 	2 	+4 	75% 	1992-05-26 	2003-06-07
 Algeria 	CAF 	2 	1 	0 	1 	3 	2 	+1 	50% 	1982-04-28 	2010-05-29
 Andorra 	UEFA 	4 	4 	0 	0 	11 	2 	+9 	100% 	2001-03-28 	2011-10-07
 Argentina 	CONMEBOL 	4 	0 	0 	4 	0 	5 	-5 	0% 	1951-05-13 	2010-08-11
 Armenia 	UEFA 	2 	2 	0 	0 	3 	1 	+2 	100% 	2010-09-03 	2011-10-11
 Australia 	AFC 	2 	1 	0 	1 	2 	4 	-2 	50% 	2003-08-19 	2009-08-12
 Austria 	UEFA 	14 	2 	3 	9 	17 	36 	-19 	14.29% 	1952-05-07 	2013-09-10
 Belarus 	UEFA 	1 	0 	0 	1 	1 	2 	-1 	0% 	2016-05-31 	2016-05-31
 Belgium 	UEFA 	15 	4 	5 	6 	24 	28 	-3 	26.67% 	1928-02-12 	2016-06-18
 Bolivia 	CONMEBOL 	3 	2 	1 	0 	5 	1 	+4 	66.67% 	1994-05-24 	2007-05-26
 Bosnia and Herzegovina 	UEFA 	3 	2 	1 	0 	4 	1 	+3 	66.67% 	2012-05-26 	2015-11-16
 Brazil 	CONMEBOL 	6 	1 	1 	4 	2 	12 	-10 	16.67% 	1974-05-05 	2010-03-02
 Bulgaria 	UEFA 	10 	3 	4 	3 	11 	8 	+3 	30% 	1924-05-28 	2009-06-06
 Cameroon 	CAF 	1 	0 	1 	0 	1 	1 	0 	0% 	2002-06-01 	2002-06-01
 Canada 	CONCACAF 	1 	1 	0 	0 	3 	0 	+3 	100% 	2003-11-18 	2003-11-18
 Chile 	CONMEBOL 	6 	2 	1 	3 	6 	6 	0 	33.33% 	1960-03-30 	2006-05-24
 China PR 	AFC 	2 	2 	0 	0 	2 	0 	+2 	100% 	1984-06-03 	2005-03-29
 Colombia 	CONMEBOL 	1 	1 	0 	0 	1 	0 	+1 	100% 	2008-05-29 	2008-05-29
 Costa Rica 	CONCACAF 	1 	0 	1 	0 	1 	1 	0 	0% 	2014-06-06 	2014-06-06
 Croatia 	UEFA 	7 	2 	3 	2 	8 	8 	0 	28.57% 	1996-06-02 	2012-06-10
 Cyprus 	UEFA 	10 	8 	1 	1 	27 	9 	+18 	80% 	1980-03-26 	2009-09-05
 Czech Republic 	UEFA 	8 	2 	2 	4 	9 	13 	-4 	25% 	1994-06-05 	2012-02-29
 Czechoslovakia 	UEFA 	12 	4 	1 	7 	14 	29 	-15 	33.33% 	1938-05-18 	1986-05-27
 Denmark 	UEFA 	13 	5 	5 	3 	20 	16 	+4 	38.46% 	1956-10-03 	2007-08-22
 Ecuador 	CONMEBOL 	2 	1 	1 	0 	4 	3 	+1 	50% 	1972-06-18 	2007-05-23
 Egypt 	CAF 	1 	0 	1 	0 	0 	0 	0 	0% 	1990-06-17 	1990-06-17
 England 	UEFA 	16 	3 	8 	5 	14 	20 	-6 	18.75% 	1946-09-30 	2015-06-07
 Estonia 	UEFA 	5 	4 	1 	0 	12 	2 	+10 	80% 	1924-06-03 	2011-11-15
 Faroe Islands 	UEFA 	4 	4 	0 	0 	11 	1 	+10 	100% 	2004-10-13 	2013-06-07
 Finland 	UEFA 	5 	3 	2 	0 	11 	2 	+9 	60% 	1949-09-08 	2002-08-21
 France 	UEFA 	16 	4 	5 	7 	15 	20 	-5 	25% 	1937-05-23 	2016-06-26
 Georgia 	UEFA 	7 	7 	0 	0 	15 	4 	+11 	100% 	2003-03-29 	2015-09-07
 Germany a 	UEFA 	20 	6 	5 	9 	24 	35 	-11 	30% 	1935-05-08 	2015-10-08
 Germany 'B' 	UEFA 	2 	1 	0 	1 	1 	3 	-2 	50% 	1975-03-01 	1981-05-21
 Gibraltar 	UEFA 	2 	2 	0 	0 	11 	0 	+11 	100% 	2014-10-11 	2015-09-04
 Greece 	UEFA 	3 	0 	1 	2 	0 	2 	-2 	0% 	2000-04-26 	2012-11-14
 Hungary 	UEFA 	11 	2 	5 	4 	16 	21 	-5 	18.18% 	1934-12-15 	2012-06-04
 Iceland 	UEFA 	7 	5 	2 	0 	16 	6 	+10 	71.43% 	1962-08-12 	1997-09-06
 Iran 	AFC 	3 	2 	0 	1 	4 	2 	+2 	66.67% 	1972-06-11 	2001-11-15
 Israel 	UEFA 	5 	1 	3 	1 	8 	6 	+2 	20% 	1984-04-04 	2005-06-04
 Italy 	UEFA 	14 	3 	3 	8 	10 	20 	-10 	16.67% 	1926-03-21 	2016-06-22
 Italy 'B' 	UEFA 	1 	0 	0 	1 	1 	2 	-1 	0% 	1927-04-23 	1927-04-23
 Jamaica 	CONCACAF 	1 	1 	0 	0 	1 	0 	+1 	100% 	2004-06-02 	2004-06-02
 Kazakhstan 	UEFA 	2 	2 	0 	0 	5 	2 	+3 	100% 	2012-09-07 	2013-10-15
 Latvia 	UEFA 	5 	5 	0 	0 	14 	1 	+13 	100% 	1992-09-09 	2013-11-15
 Liechtenstein 	UEFA 	4 	3 	1 	0 	14 	0 	+14 	75% 	1994-10-12 	1997-05-21
 Lithuania 	UEFA 	4 	3 	1 	0 	5 	1 	+4 	75% 	1993-06-16 	1997-09-10
 Luxembourg 	UEFA 	5 	5 	0 	0 	14 	2 	+12 	100% 	1936-05-09 	1987-09-09
 Macedonia 	UEFA 	6 	4 	1 	1 	11 	5 	+6 	66.67% 	1996-10-09 	2011-06-04
 Malta 	UEFA 	7 	7 	0 	0 	24 	2 	+22 	100% 	1983-03-30 	1999-09-08
 Mexico 	CONCACAF 	5 	0 	4 	1 	5 	6 	-1 	0% 	1984-08-08 	2000-06-04
 Montenegro 	UEFA 	2 	0 	2 	0 	0 	0 	0 	0% 	2008-09-10 	2009-10-14
 Morocco 	CAF 	1 	1 	0 	0 	1 	0 	+1 	100% 	1990-09-12 	1990-09-12
 Netherlands 	UEFA 	22 	7 	4 	11 	29 	40 	-11 	33.33% 	1924-06-02 	2016-05-27
 Nigeria 	CAF 	3 	0 	1 	2 	2 	6 	-4 	0% 	2002-05-16 	2009-05-29
 Northern Ireland 	UEFA 	10 	4 	4 	2 	17 	4 	+13 	40% 	1978-09-20 	2011-05-24
 Norway 	UEFA 	18 	7 	8 	3 	29 	19 	+10 	38.89% 	1937-10-10 	2010-11-17
 Oman 	AFC 	2 	2 	0 	0 	6 	1 	+5 	100% 	2012-09-11 	2014-09-03
 Paraguay 	CONMEBOL 	2 	2 	0 	0 	4 	1 	+3 	100% 	1999-02-10 	2010-05-25
 Poland 	UEFA 	27 	6 	10 	11 	29 	43 	-14 	22.22% 	1938-05-22 	2015-10-11
 Portugal 	UEFA 	13 	4 	2 	7 	10 	20 	-10 	33.33% 	1946-06-16 	2014-06-10
 Romania 	UEFA 	5 	2 	2 	1 	4 	2 	+2 	40% 	1988-03-23 	2004-05-27
 Russia 	UEFA 	7 	1 	3 	3 	7 	10 	-3 	14.29% 	1994-03-23 	2011-09-06
 San Marino 	UEFA 	2 	2 	0 	0 	7 	1 	+6 	100% 	2006-11-15 	2007-02-07
 Saudi Arabia 	AFC 	1 	1 	0 	0 	3 	0 	+3 	100% 	2002-06-11 	2002-06-11
 Scotland 	UEFA 	11 	4 	3 	4 	9 	12 	-3 	36.36% 	1961-05-03 	2015-06-13
 Serbia b 	UEFA 	7 	2 	2 	3 	7 	9 	-2 	28.57% 	1955-10-19 	2014-03-05
 Slovakia 	UEFA 	5 	1 	4 	0 	6 	5 	+1 	25% 	2007-03-28 	2016-03-29
 South Africa 	CAF 	2 	2 	0 	0 	3 	1 	+2 	100% 	2000-06-11 	2009-09-08
 Soviet Union 	UEFA 	8 	3 	1 	4 	8 	8 	0 	37.5% 	1972-10-18 	1990-04-25
 Spain 	UEFA 	26 	4 	7 	15 	18 	54 	-36 	15.38% 	1931-04-26 	2013-06-11
 Sweden 	UEFA 	11 	3 	3 	5 	14 	17 	-3 	27.27% 	1949-06-02 	2016-06-13
  Switzerland 	UEFA 	16 	8 	3 	5 	18 	10 	+8 	50% 	1935-05-05 	2016-03-25
 Trinidad and Tobago 	CONCACAF 	1 	0 	0 	1 	1 	2 	-1 	0% 	1982-05-30 	1982-05-30
 Tunisia 	CAF 	1 	1 	0 	0 	4 	0 	+4 	100% 	1988-10-19 	1988-10-19
