"Date","Match","Venue (city, stadium)","Opponent","Score","Manager","Notes"
"1924-05-28","1924 Summer Olympics","Paris, Stade Olympique","Bulgaria","1-0","OCI","Manager: Olympic Council of Ireland. Paddy Duncan scored first goal for Irish Free State. Crowd: 1,659."
"1924-06-02","1924 Summer Olympics, quarter final","Paris, Stade de Paris","Netherlands","1-2","OCI","Crowd: 1,506."
"1924-06-03","Friendly","Paris, Stade Olympique","Estonia","3-1","FAIFS","Manager: Football Association of the Irish Free State (FAIFS)."
"1924-06-14","Friendly","Dublin, Dalymount Park","United States","3-1","FAIFS","Ed Brookes hat-trick."
"1926-03-21","Friendly","Turin, Motovelodromo","Italy","0-3","FAIFS","Professional players introduced. Crowd: 12,000."
"1926","Friendly","Dublin, Dalymount Park","IFA League","3-1","FAIFS","Unofficial match. FAIFS (Free State) v IFA (Northern Ireland)."
"1927-04-23","Friendly","Dublin, Lansdowne Road","Italy B team","1-2","FAIFS","Unofficial match. Bill Lacey oldest player to debut for FAI aged 37. Crowd: 20,000."
"1928-02-12","Friendly","Liège, Standard Liège Stadium","Belgium","4-2","FAIFS",""
"1929-04-30","Friendly","Dublin, Dalymount Park","Belgium","4-0","FAIFS","John Joe Flood hat-trick."
"1930-05-11","Friendly","Brussels, Parc du Meir","Belgium","3-1","FAIFS","Bill Lacey aged 41 oldest to play for FAI XI."
"1931-04-26","Friendly","Barcelona, Montjuïc Stadium","Spain","1-1","FAIFS",""
"1931-12-13","Friendly","Dublin, Dalymount Park","Spain","0-5","Lacey","Manager: Bill Lacey"
"1932-05-08","Friendly","Amsterdam, De Meer Stadion","Netherlands","2-0","FAIFS",""
"1934-02-25","World Cup 1934 qualifier","Dublin, Dalymount Park","Belgium","4-4","Lacey","Four goals by Paddy Moore."
"1934-04-08","World Cup 1934 qualifier","Amsterdam, De Meer Stadion","Netherlands","2-5","FAIFS",""
"1934-12-15","Friendly","Dublin, Dalymount Park","Hungary","2-4","FAIFS",""
"1935-05-05","Friendly","Basel, St. Jakob Park","Switzerland","0-1","FAIFS",""
"1935-05-08","Friendly","Dortmund, Kampfbahn Rote Erde","Germany","1-3","FAIFS",""
"1935-12-08","Friendly","Dublin, Dalymount Park","Netherlands","3-5","Lacey",""
"1936-03-17","Friendly","Dublin, Dalymount Park","Switzerland","1-0","FAIFS","Team name changed from ""Irish Free State"" to ""Ireland""."
"1936-05-03","Friendly","Budapest, Hungaria Uti Stadium","Hungary","3-3","FAI","Manager: Football Association of Ireland. FAI name re-adopted in 1936."
"1936-05-06","Friendly","Köln","Rhineland XI","1-4","FAI","Unofficial match."
"1936-05-09","Friendly","Luxembourg, Stade Municipal","Luxembourg","5-1","FAI",""
"1936-10-17","Friendly","Dublin, Dalymount Park","Germany","5-2","Lacey","Crowd: 28,000. The German team performed Nazi salutes during the playing of their national anthem."
"1936-12-06","Friendly","Dublin, Dalymount Park","Hungary","2-3","FAI",""
"1937-05-17","Friendly","Bern, Wankdorfstadion","Switzerland","1-0","FAI",""
"1937-05-23","Friendly","Paris, Stade Colombes","France","2-0","FAI",""
"1937-10-10","World Cup 1938 qualifier","Oslo, Ullevaal Stadion","Norway","2-3","FAI",""
"1937-11-07","World Cup 1938 qualifier","Dublin, Dalymount Park","Norway","3-3","FAI",""
"1938-05-18","Friendly","Prague, Sparta Stadium","Czechoslovakia","2-2","FAI",""
"1938-05-22","Friendly","Warsaw, Polish Army Stadium","Poland","0-6","FAI",""
"1938-09-18","Friendly","Dublin, Dalymount Park","Switzerland","4-0","FAI",""
"1938-11-13","Friendly","Dublin, Dalymount Park","Poland","3-2","FAI",""
"1939-03-19","Friendly","Cork, The Mardyke","Hungary","2-2","FAI","First international match held in Cork."
"1939-05-18","Friendly","Budapest, MTK Stadium","Hungary","2-2","FAI",""
"1939-05-23","Friendly","Bremen, Weserstadion","Germany","1-1","FAI","Final pre-war match."
"1946-06-16","Friendly","Lisbon, Estádio da Luz","Portugal","1-3","FAI","First post-war match."
"1946-06-23","Friendly","Madrid, Estadio Metropolitano","Spain","1-0","FAI",""
"1946-09-30","Friendly","Dublin, Dalymount Park","England","0-1","FAI",""
"1947-03-02","Friendly","Dublin, Dalymount Park","Spain","3-2","FAI","Crowd: 42,102."
"1947-05-04","Friendly","Dublin, Dalymount Park","Portugal","0-2","FAI",""
"1948-05-23","Friendly","Lisbon, Estádio da Luz","Portugal","0-2","FAI",""
"1948-05-30","Friendly","Barcelona, Montjuïc Stadium","Spain","1-2","FAI",""
"1948-07-26","1948 Summer Olympics","Portsmouth, Fratton Park","Netherlands","1-3","FAI",""
"1948-12-05","Friendly","Dublin, Dalymount Park","Switzerland","0-1","FAI",""
"1949-04-24","Friendly","Dublin, Dalymount Park","Belgium","0-2","FAI",""
"1949-05-22","Friendly","Dublin, Dalymount Park","Portugal","1-0","FAI",""
"1949-06-02","World Cup 1950 qualifier","Solna, Råsunda Stadium","Sweden","1-3","FAI",""
"1949-06-12","Friendly","Dublin, Dalymount Park","Spain","1-4","FAI",""
"1949-09-08","World Cup 1950 qualifier","Dublin, Dalymount Park","Finland","3-0","FAI",""
"1949-09-21","Friendly","Liverpool, Goodison Park","England","2-0","FAI","England's first home defeat by non-British side. Crowd: 51,047."
"1949-10-09","World Cup 1950 qualifier","Helsinki, Olympiastadion","Finland","1-1","FAI",""
"1949-11-13","World Cup 1950 qualifier","Dublin, Dalymount Park","Sweden","1-3","FAI",""
"1950-05-10","Friendly","Brussels, Century Stadium","Belgium","1-5","FAI",""
"1950-11-26","Friendly","Dublin, Dalymount Park","Norway","2-2","FAI",""
"1951-05-13","Friendly","Dublin, Dalymount Park","Argentina","0-1","FAI",""
"1951-05-30","Friendly","Oslo, Ullevaal Stadion","Norway","3-2","FAI",""
"1951-10-17","Friendly","Dublin, Dalymount Park","West Germany","3-2","FAI",""
"1952-05-04","Friendly","Köln, Müngersdorfer Stadion","West Germany","0-3","FAI",""
"1952-05-07","Friendly","Vienna, Praeter Park","Austria","0-6","FAI",""
"1952-06-01","Friendly","Madrid, Estadio Chamartín","Spain","0-6","FAI",""
"1952-11-16","Friendly","Dublin, Dalymount Park","France","1-1","FAI",""
"1953-03-25","Friendly","Dublin, Dalymount Park","Austria","4-0","FAI",""
"1953-10-04","World Cup 1954 qualifier","Dublin, Dalymount Park","France","3-5","FAI","FIFA renamed team from ""Ireland"" to ""Republic of Ireland""."
